,vmId,cluster,virtualDatacenter,ip_addresses,os,os_name,vmState,vCpu,vmName,vRam,vinfo_provisioned,vinfo_used,vmdkTotal,vmdkUsed
177,vm-52222,BRB-UCS-Linux-01,BRB,10.63.36.45,SUSE openSUSE (64-bit),SUPAUDP03-5,poweredOn,4,supaudp03-5,16.0,126.5087890625,126.5087890625,110.0,37.5908203125
178,vm-52216,BRB-UCS-Linux-01,BRB,10.63.36.46,SUSE openSUSE (64-bit),SUPAUDP03-6,poweredOn,4,supaudp03-6,16.0,126.5087890625,126.5087890625,110.0,46.296875
179,vm-52218,BRB-UCS-Linux-01,BRB,10.63.36.47,SUSE openSUSE (64-bit),SUPAUDP03-7,poweredOn,4,supaudp03-7,16.0,126.505859375,126.505859375,110.0,46.1787109375
180,vm-52223,BRB-UCS-Linux-01,BRB,10.63.36.48,SUSE openSUSE (64-bit),SUPAUDP03-8,poweredOn,4,supaudp03-8,16.0,126.505859375,126.505859375,110.0,36.0166015625
181,vm-52215,BRB-UCS-Linux-01,BRB,10.63.36.49,SUSE openSUSE (64-bit),SUPAUDP03-9,poweredOn,4,supaudp03-9,16.0,126.509765625,126.509765625,110.0,51.267578125
182,vm-21649,BRB-UCS-Linux-01,BRB,no ip,Red Hat Enterprise Linux 7 (64-bit),,poweredOff,1,template_CentOS8-1,1.0,33.5712890625,32.0,32.0,32.0
183,vm-126830,BRB-UCS-Linux-01,BRB,no ip,Red Hat Enterprise Linux 7 (64-bit),redhat7-template,poweredOff,1,template_redhat7-1-testing,1.0,131.5712890625,32.0,130.0,32.0
184,vm-126831,BRB-UCS-Linux-01,BRB,no ip,Red Hat Enterprise Linux 7 (64-bit),redhat7-template,poweredOff,1,template_redhat7-7,1.0,131.5703125,32.0,130.0,32.0
185,vm-21648,BRB-UCS-Linux-01,BRB,no ip,Red Hat Enterprise Linux 7 (64-bit),,poweredOff,1,template_redhat7-7-old,1.0,33.5712890625,32.0,32.0,32.0
186,vm-162761,BRB-UCS-Linux-01,BRB,no ip,none specified,,poweredOff,1,template_redhat8-1,1.0,131.5712890625,32.0,130.0,32.0
187,vm-21647,BRB-UCS-Linux-01,BRB,no ip,Red Hat Enterprise Linux 7 (64-bit),,poweredOff,1,template_redhat8-1-old,1.0,33.5712890625,32.0,32.0,32.0
188,vm-4755,BRB-UCS-Windows-01,BRB,no ip,Microsoft Windows Server 2008 (64-bit),,poweredOff,2,Template-2k8_R2_v1,4.0,104.3330078125,100.0,100.0,100.0
189,vm-4698,BRB-UCS-Linux-01,BRB,157.139.250.73,Red Hat Enterprise Linux 7 (64-bit),assist.company.net,poweredOn,2,test.assist,4.0,136.0810546875,136.0810546875,132.0,11.810546875
190,vm-5936,BRB-UCS-Windows-01,BRB,157.139.225.80,Microsoft Windows Server 2019 (64-bit),vACAD-DSVWEBP03.company.net,poweredOn,2,vACAD-DSVWEBP03,8.0,88.13671875,88.13671875,80.0,24.2158203125
191,vm-5463,BRB-UCS-Linux-01,BRB,157.139.225.160,Microsoft Windows Server 2019 (64-bit),vALMA-SFTP2.company.net,poweredOn,2,vALMA-SFTP2,4.0,64.080078125,64.080078125,60.0,32.595703125
192,vm-74077,BRB-UCS-Windows-01,BRB,10.62.238.68,Microsoft Windows Server 2022 (64-bit),vARCH-LANDING03.company.net,poweredOn,32,vARCH-LANDING03,128.0,62380.4765625,62380.4765625,62252.0,39298.8544921875
193,vm-4740,BRB-UCS-Windows-01,BRB,157.139.238.52,Microsoft Windows Server 2019 (64-bit),vBartenderP01.company.net,poweredOn,2,vBartenderP01,8.0,108.1337890625,108.1337890625,100.0,51.1865234375
194,vm-162250,BRB-UCS-Windows-01,BRB,157.139.238.82,Microsoft Windows Server 2022 (64-bit),vbeyondtrustp01,poweredOn,2,vBeyondTrustP01,32.0,332.1396484375,332.1396484375,300.0,69.2607421875
195,vm-4731,BRB-UCS-Windows-01,BRB,157.139.238.78,Microsoft Windows Server 2012 (64-bit),vbeyondtrustp01,poweredOn,8,vBeyondTrustP01-CHG0047323,32.0,344.3193359375,344.3193359375,312.1640625,294.72265625
196,vm-162249,BRB-UCS-Windows-01,BRB,157.139.238.83,Microsoft Windows Server 2022 (64-bit),vbeyondtrustp02,poweredOn,2,vBeyondTrustP02,32.0,332.140625,332.140625,300.0,67.9033203125
197,vm-75558,BRB-UCS-Windows-01,BRB,157.139.238.79,Microsoft Windows Server 2012 (64-bit),vbeyondtrustp02,poweredOn,8,vBeyondTrustP02-CHG0047323,32.0,344.294921875,344.294921875,312.1640625,149.3447265625
198,vm-158681,BRB-UCS-Windows-01,BRB,no ip,none specified,,poweredOff,2,vBeyondTrust-temp,32.0,333.171875,300.0,300.0,300.0
199,vm-5956,BRB-UCS-Windows-01,BRB,157.139.226.111,Microsoft Windows Server 2016 or later (64-bit),vBTPAMDSCP01.company.net,poweredOn,4,vBTPAMDSCP01,16.0,116.443359375,116.443359375,100.0,31.984375
200,vm-5953,BRB-UCS-Windows-01,BRB,157.139.226.115,Microsoft Windows Server 2016 or later (64-bit),vBTPAMDSCP02.company.net,poweredOn,4,vBTPAMDSCP02,16.0,116.4140625,116.4140625,100.0,33.197265625
201,vm-5957,BRB-UCS-Windows-01,BRB,157.139.225.151,Microsoft Windows Server 2016 or later (64-bit),vBTPAMDSCP03.company.net,poweredOn,4,vBTPAMDSCP03,16.0,116.3701171875,116.3701171875,100.0,48.7236328125
202,vm-4766,BRB-UCS-Windows-01,BRB,157.139.226.205,Microsoft Windows Server 2016 or later (64-bit),vBTpamtermp01.company.net,poweredOn,4,vBTpamtermp01,16.0,116.4365234375,116.4365234375,100.0,28.82421875
